order,start_date,end_date,goal,total_production,good_production
244256,2023-01-03 03:00:00,2023-01-03 20:43:04,30000.0,31209.0,31050.0
244257,2023-01-03 20:43:04,2023-01-04 07:17:08,190005.0,187895.0,187275.0
244258,2023-01-04 07:17:08,2023-01-04 12:23:50,50010.0,46655.0,46380.0
244260,2023-01-04 12:23:50,2023-01-05 21:30:43,699990.0,680476.0,678750.0
244255,2023-01-05 21:30:43,2023-01-06 09:38:38,210000.0,204842.0,204585.0
244259,2023-01-06 09:38:38,2023-01-06 16:47:56,170010.0,162998.0,162570.0
244268,2023-01-06 16:47:56,2023-01-06 21:28:51,180000.0,101828.0,101280.0
244300,2023-01-09 00:00:00,2023-01-09 11:33:20,934995.0,229099.0,228615.0
244350,2023-01-09 11:37:25,2023-01-09 18:59:33,147900.0,148498.0,147915.0
244351,2023-01-09 18:59:33,2023-01-10 16:57:21,500000.005,507944.0,507000.0
244301,2023-01-10 16:57:21,2023-01-11 04:22:58,176010.0,171165.0,170775.0
244302,2023-01-11 04:22:58,2023-01-11 15:00:00,250005.0,250584.0,249060.0
244303,2023-01-11 15:00:00,2023-01-12 20:29:07,650010.0,628750.0,625635.0
244304,2023-01-12 20:29:07,2023-01-13 21:06:50,650010.0,398093.0,395235.0
244419,2023-01-16 00:01:00,2023-01-16 09:08:00,100005.0,150308.0,149130.0
244420,2023-01-16 09:08:04,2023-01-16 19:08:48,180000.0,178196.0,177030.0
244421,2023-01-16 19:08:48,2023-01-17 06:30:00,199999.995,200301.0,197025.0
244477,2023-01-25 12:00:00,2023-01-25 20:10:00,20010.0,20432.0,20235.0
244478,2023-01-25 20:10:00,2023-01-26 00:58:44,130005.0,118724.0,118200.0
244479,2023-01-26 00:58:44,2023-01-26 21:55:19,400005.0,388366.0,386805.0
244480,2023-01-26 21:55:18,2023-01-27 04:25:00,150000.0,153612.0,153375.0
244481,2023-01-27 04:25:00,2023-01-27 09:05:00,20010.0,21200.0,20955.0
244482,2023-01-27 09:05:00,2023-01-27 11:22:44,30000.0,25219.0,24945.0
244483,2023-01-27 11:22:43,2023-01-27 16:28:17,150000.0,128818.0,128280.0
244498,2023-01-27 16:28:17,2023-01-27 19:16:21,49995.0,47357.0,47085.0
244526,2023-01-30 00:00:00,2023-01-30 11:18:00,220005.0,211884.0,211260.0
244527,2023-01-30 11:18:00,2023-01-30 13:34:36,50010.0,46308.0,46170.0
244528,2023-01-30 13:34:36,2023-01-31 09:42:51,550005.0,539886.0,538155.0
244529,2023-01-31 09:42:50,2023-01-31 15:50:00,60000.0,61405.0,58275.0
244659,2023-02-06 00:01:00,2023-02-07 17:39:02,825000.0,747700.0,746610.0
244698,2023-02-07 17:39:02,2023-02-08 01:59:28,109999.995,105242.0,105045.0
244663,2023-02-08 03:15:28,2023-02-08 11:44:28,199999.995,203064.0,202680.0
244665,2023-02-08 01:59:28,2023-02-08 03:15:28,15000.0,15543.0,15405.0
244661,2023-02-08 11:44:28,2023-02-08 12:54:06,9990.0,12351.0,12315.0
244662,2023-02-08 12:54:06,2023-02-09 04:40:18,500010.0,278463.0,277965.0
244760,2023-02-09 04:40:18,2023-02-10 00:18:12,1000005,322769.0,322155.0
244660,2023-02-10 00:18:12,2023-02-10 14:54:24,249990.0,254095.0,251625.0
244664,2023-02-10 14:54:24,2023-02-10 20:59:37,150000.0,129709.0,129420.0
244775,2023-02-14 00:00:00,2023-02-15 04:22:53,400005.0,395518.0,394575.0
244728,2023-02-15 04:22:53,2023-02-15 11:43:53,150000.0,151813.0,151455.0
244726,2023-02-15 11:43:53,2023-02-15 14:22:03,48000.0,46429.0,46275.0
244747,2023-02-15 14:22:03,2023-02-16 06:04:06,300000.0,283401.0,282855.0
244722,2023-02-16 06:04:06,2023-02-16 13:30:15,150000.0,151824.0,151650.0
244724,2023-02-16 13:30:15,2023-02-16 22:33:50,175995.0,174288.0,174015.0
244723,2023-02-16 22:33:50,2023-02-17 12:41:16,300000.0,292454.0,291960.0
244749,2023-02-17 12:41:16,2023-02-17 20:11:08,165000.0,158188.0,157995.0
244811,2023-02-20 00:00:00,2023-02-20 04:56:09,30000.0,30991.0,30705.0
244812,2023-02-20 04:56:09,2023-02-21 09:38:25,720000.0,721772.0,720585.0
244817,2023-02-21 09:38:25,2023-02-22 12:41:33,649995.0,649772.0,648735.0
244816,2023-02-22 12:41:33,2023-02-22 22:32:04,150000.0,154044.0,153660.0
244815,2023-02-22 22:32:04,2023-02-23 14:45:00,439995.0,433331.0,432855.0
244813,2023-02-23 14:45:00,2023-02-24 09:30:00,384990.0,0.0,
244869,2023-03-01 16:00:00,2023-03-02 09:48:00,380010.0,353730.0,353295.0
244871,2023-03-02 09:48:00,2023-03-02 12:31:04,50010.0,54284.0,51990.0
244872,2023-03-02 12:31:04,2023-03-03 03:09:40,300000.0,290147.0,289395.0
